Id,Date Time,Exam,Source,Source Id,Topic,Problem,Dialog,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Agent Answer,Correct Answer,Solution,Score,Input Tokens,Output Tokens,Total Tokens,Error
1,2023-10-20 17:03:44,lsat-ar-100.jsonl,agi-eval/lsat-ar,45,Law,"Topic: Law
Context: For the school paper, five students—Jiang, Kramer, Lopez, Megregian, and O'Neill—each review one or more of exactly three plays: Sunset, Tamerlane, and Undulation, but do not review any other plays. The following conditions must apply: Kramer and Lopez each review fewer of the plays than Megregian. Neither Lopez nor Megregian reviews any play Jiang reviews. Kramer and O'Neill both review Tamerlane. Exactly two of the students review exactly the same play or plays as each other.
Question: If exactly three of the students review Undulation, which one of the following could be true?
Choices:
  A: Megregian does not review Undulation.
  B: O'Neill does not review Undulation.
  C: Jiang reviews Undulation.
  D: Lopez reviews Tamerlane.
  E: O'Neill reviews Sunset.
",,B,B,E,E,E,B,A,A,B,D,B,E,,0,471,1326,1797,
2,2023-10-20 17:03:47,lsat-ar-100.jsonl,agi-eval/lsat-ar,107,Law,"Topic: Law
Context: A maintenance company that takes service requests from three clients—Image, Solide, and Truvest—plans to set targets for its average service response times. Service targets will be set at 3 days, 2 days, or 1 day. Two service targets are set for each client—one for requests received through the maintenance company's website and one for requests received by voicemail. The six targets are set according to the following conditions: None of the clients can have a website target that is longer than its voicemail target. Image's voicemail target must be shorter than the other clients' voicemail targets. Solide's website target must be shorter than Truvest's website target.
Question: Which one of the following targets CANNOT be set for more than one of the clients?
Choices:
  A: a 1-day website target
  B: a 2-day voicemail target
  C: a 2-day website target
  D: a 3-day voicemail target
  E: a 3-day website target
",,D,A,C,C,A,A,A,C,D,C,A,E,,0,504,2631,3135,
3,2023-10-20 17:03:53,lsat-ar-100.jsonl,agi-eval/lsat-ar,226,Law,"Topic: Law
Context: Three real estate companies—RealProp, Southco, and Trustcorp—are considering trading buildings with one another. Each building they own is categorized as either class 1, class 2, or class 3, depending on its approximate value: RealProp owns the Garza Tower (class 1), the Yates House (class 3), and the Zimmer House (class 3). Southco owns the Flores Tower (class 1) and the Lynch Building (class 2). Trustcorp owns the King Building, the Meyer Building, and the Ortiz Building, all of which are class 2. Each trade must be of exactly one of the following three kinds: Trading one building for one other building of the same class Trading one class 1 building for two class 2 buildings Trading one class 2 building for two class 3 buildings
Question: Which one of the following could be the buildings owned by the three companies after only one trade is made?
Choices:
  A: RealProp: the Flores Tower and the Garza Tower Southco: the Lynch Building, the Yates House, and the Zimmer House Trustcorp: the King Building, the Meyer Building, and the Ortiz Building
  B: RealProp: the Garza Tower, the King Building, and the Ortiz Building Southco: the Flores Tower and the Lynch Building Trustcorp: the Meyer Building, the Yates House, and the Zimmer House
  C: RealProp: the Garza Tower and the Lynch Building Southco: the Flores Tower, the Yates House, and the Zimmer House Trustcorp: the King Building, the Meyer Building, and the Ortiz Building
  D: RealProp: the Garza Tower, the Meyer Building, and the Yates House Southco: the Flores Tower and the Lynch Building Trustcorp: the King Building, the Ortiz Building, and the Zimmer House
  E: RealProp: the Garza Tower, the Yates House, and the Zimmer House Southco: the Lynch Building and the Ortiz Building Trustcorp: the Flores Tower, the King Building, and the Meyer Building
",,D,C,E,E,C,C,C,C,E,E,C,C,,1,711,3676,4387,
4,2023-10-20 17:04:03,lsat-ar-100.jsonl,agi-eval/lsat-ar,215,Law,"Topic: Law
Context: An author is planning to write a mystery novel consisting of seven chapters, chapter 1 through chapter 7. Each of seven different clues—R, S, T, U, W, X, and Z—is to be mentioned exactly once, one clue per chapter. The order in which the clues are mentioned is subject to the following constraints: T cannot be mentioned in chapter 1. T must be mentioned before W, and there must be exactly two chapters separating the mention of T from the mention of W. S and Z cannot be mentioned in adjacent chapters. W and X cannot be mentioned in adjacent chapters. U and X must be mentioned in adjacent chapters.
Question: If U is mentioned in chapter 3, which one of the following could be true?
Choices:
  A: R is mentioned in chapter 1.
  B: R is mentioned in chapter 5.
  C: S is mentioned in chapter 7.
  D: W is mentioned in chapter 6.
  E: X is mentioned in chapter 4.
",,E,C,E,A,E,E,B,B,D,E,E,A,,0,501,2897,3398,
5,2023-10-20 17:04:10,lsat-ar-100.jsonl,agi-eval/lsat-ar,46,Law,"Topic: Law
Context: For the school paper, five students—Jiang, Kramer, Lopez, Megregian, and O'Neill—each review one or more of exactly three plays: Sunset, Tamerlane, and Undulation, but do not review any other plays. The following conditions must apply: Kramer and Lopez each review fewer of the plays than Megregian. Neither Lopez nor Megregian reviews any play Jiang reviews. Kramer and O'Neill both review Tamerlane. Exactly two of the students review exactly the same play or plays as each other.
Question: Which one of the following could be an accurate and complete list of the students who review Tamerlane?
Choices:
  A: Jiang, Kramer
  B: Kramer, O'Neill
  C: Kramer, Lopez, O'Neill
  D: Kramer, Megregian, O'Neill
  E: Lopez, Megregian, O'Neill
",,B,B,B,B,B,B,B,B,B,B,B,D,,0,473,1088,1561,
6,2023-10-20 17:04:13,lsat-ar-100.jsonl,agi-eval/lsat-ar,10,Law,"Topic: Law
Context: The organizer of a reading club will select at least five and at most six works from a group of nine works. The group consists of three French novels, three Russian novels, two French plays, and one Russian play. The organizer's selection of works must conform to the following requirements: No more than four French works are selected. At least three but no more than four novels are selected. At least as many French novels as Russian novels are selected. If both French plays are selected, then the Russian play is not selected.
Question: The organizer must at least select
Choices:
  A: one French novel and one French play
  B: one French novel and one Russian play
  C: one Russian novel and one French play
  D: two French novels
  E: two Russian novels
",,D,E,D,A,D,D,D,E,D,N,D,D,,1,453,2108,2561,
7,2023-10-20 17:04:17,lsat-ar-100.jsonl,agi-eval/lsat-ar,227,Law,"Topic: Law
Context: Three real estate companies—RealProp, Southco, and Trustcorp—are considering trading buildings with one another. Each building they own is categorized as either class 1, class 2, or class 3, depending on its approximate value: RealProp owns the Garza Tower (class 1), the Yates House (class 3), and the Zimmer House (class 3). Southco owns the Flores Tower (class 1) and the Lynch Building (class 2). Trustcorp owns the King Building, the Meyer Building, and the Ortiz Building, all of which are class 2. Each trade must be of exactly one of the following three kinds: Trading one building for one other building of the same class Trading one class 1 building for two class 2 buildings Trading one class 2 building for two class 3 buildings
Question: Which one of the following CANNOT be true, no matter how many trades are made?
Choices:
  A: The buildings owned by RealProp are the Flores Tower and the Garza Tower.
  B: The buildings owned by Southco are the Flores Tower and the Meyer Building.
  C: The buildings owned by Southco are the Garza Tower and the Lynch Building.
  D: The buildings owned by Trustcorp are the Flores Tower and the Ortiz Building.
  E: The buildings owned by Trustcorp are the Garza Tower and the Meyer Building.
",,A,D,A,A,D,A,D,E,N,E,A,A,,1,577,1902,2479,
8,2023-10-20 17:04:23,lsat-ar-100.jsonl,agi-eval/lsat-ar,102,Law,"Topic: Law
Context: Exactly five witnesses—Franco, Garcia, Hong, Iturbe, and Jackson—are to be scheduled to testify at a hearing that is to take exactly three days of one week—Monday, Tuesday, and Wednesday. Each witness testifies on exactly one day of the hearing. The schedule must meet the following conditions: Franco does not testify on the same day that Garcia testifies. Iturbe testifies on Wednesday. Exactly two witnesses testify on Tuesday. Hong does not testify on Monday. At least one witness testifies on Monday.
Question: If Franco is scheduled to testify on the same day as Hong, which one of the following must be true of the schedule?
Choices:
  A: Franco is scheduled to testify on Wednesday.
  B: Garcia is scheduled to testify on Monday.
  C: Garcia is scheduled to testify on Wednesday.
  D: Hong is scheduled to testify on Tuesday.
  E: Iturbe is the only witness scheduled to testify on Wednesday.
",,C,E,C,B,C,B,B,C,B,A,B,D,,0,488,1666,2154,
9,2023-10-20 17:04:26,lsat-ar-100.jsonl,agi-eval/lsat-ar,202,Law,"Topic: Law
Context: A chorus director is planning to audition exactly six singers: Kammer, Lugo, Trillo, Waite, Yoshida, and Zinn. Kammer's audition and Lugo's audition will be recorded; the other four will not be. The six auditions are to take place one after the other on a single day, in accordance with the following conditions: The fourth audition cannot be recorded. The fifth audition must be recorded. Waite's audition must take place earlier than the two recorded auditions. Kammer's audition must take place earlier than Trillo's audition. Zinn's audition must take place earlier than Yoshida's audition.
Question: Which one of the following could be the order of the auditions, from first to last?
Choices:
  A: Kammer, Trillo, Zinn, Waite, Lugo, Yoshida
  B: Waite, Kammer, Yoshida, Zinn, Lugo, Trillo
  C: Waite, Lugo, Kammer, Trillo, Zinn, Yoshida
  D: Waite, Zinn, Kammer, Trillo, Lugo, Yoshida
  E: Zinn, Yoshida, Waite, Lugo, Kammer, Trillo
",,B,B,B,D,C,B,D,C,D,B,B,D,,0,549,2475,3024,
10,2023-10-20 17:04:35,lsat-ar-100.jsonl,agi-eval/lsat-ar,127,Law,"Topic: Law
Context: A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega nor Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.
Question: Which one of the following is a pair of employees at least one of whom must be on the team?
Choices:
  A: Ortega and Schmidt
  B: Ortega and Wong
  C: Paine and Schmidt
  D: Thomson and Yoder
  E: Yoder and Zayre
",,B,C,D,D,D,D,D,,B,B,D,D,,1,463,1876,2339,
11,2023-10-20 17:04:39,lsat-ar-100.jsonl,agi-eval/lsat-ar,48,Law,"Topic: Law
Context: An administrator must assign parking spaces to six new employees: Robertson, Souza, Togowa, Vaughn, Xu, and Young. Each of the six employees must be assigned one of the following parking spaces: #1, #2, #3, #4, #5, or #6. No two employees can be assigned the same parking space. The following rules govern the assignment of parking spaces: Young must be assigned a higher-numbered parking space than Togowa. Xu must be assigned a higher-numbered parking space than Souza. Robertson must be assigned a higher-numbered parking space than Young. Robertson must be assigned parking space #1, #2, #3, or #4.
Question: Which one of the following could be the assignment of parking spaces to the new employees?
Choices:
  A: #1: Young; #2: Souza; #3: Vaughn; #4: Robertson; #5: Togowa; #6: Xu
  B: #1: Vaughn; #2: Togowa; #3: Young; #4: Souza; #5: Robertson; #6: Xu
  C: #1: Togowa; #2: Young; #3: Xu; #4: Robertson; #5: Souza; #6: Vaughn
  D: #1: Togowa; #2: Robertson; #3: Young; #4: Souza; #5: Vaughn; #6: Xu
  E: #1: Souza; #2: Togowa; #3: Young; #4: Robertson; #5: Xu; #6: Vaughn
",,D,C,D,D,N,D,D,D,N,D,D,E,,0,640,2693,3333,
12,2023-10-20 17:04:43,lsat-ar-100.jsonl,agi-eval/lsat-ar,192,Law,"Topic: Law
Context: Four students will be assigned to a history project in which they will search archives from the years 1921, 1922, 1923, and 1924. Each of the four years will have exactly one student assigned to it. Six students—Louis, Mollie, Onyx, Ryan, Tiffany, and Yoshio—are available for this project. The following conditions apply: Only Louis or Tiffany can be assigned to 1923. If Mollie is assigned to the project, then she must be assigned to either 1921 or 1922. If Tiffany is assigned to the project, then Ryan must be assigned to the project. If Ryan is assigned to the project, then Onyx must be assigned to the year immediately prior to Ryan's.
Question: If both Ryan and Yoshio are assigned to the project, which one of the following could be true?
Choices:
  A: Louis is assigned to 1923.
  B: Mollie is assigned to 1921.
  C: Onyx is assigned to 1922.
  D: Tiffany is assigned to 1924.
  E: Yoshio is assigned to 1922.
",,B,E,N,B,E,E,E,E,E,E,E,A,,0,531,1756,2287,
13,2023-10-20 17:04:46,lsat-ar-100.jsonl,agi-eval/lsat-ar,75,Law,"Topic: Law
Context: A chemistry class has six lab sessions scheduled over three days—Wednesday, Thursday, and Friday—one session heing held each morning and one each afternoon. Each session will be led by a different lab assistant—Julio, Kevin, Lan, Nessa, Olivia, or Rebecca. The assignment of lab assistants to sessions is constrained as follows: Kevin and Rebecca must lead sessions that meet on the same day. Lan and Olivia cannot lead sessions that meet on the same day. Nessa must lead an afternoon session. Julio's session must meet on an earlier day of the week than Olivia's.
Question: If Julio leads the Thursday afternoon session, then for how many of the other lab assistants can one determine which sessions they lead?
Choices:
  A: one
  B: two
  C: three
  D: four
  E: five
",,D,D,A,E,C,E,E,C,A,B,E,C,,0,462,1889,2351,
